stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
68083,68083,"NE 8th St & 118th Ave NE - Bay 1 (WB)",,47.617363,-122.183884,19,0
99441,99441,"Maple Valley - Black Diamond Rd SE & SE 260th St (NB)",,47.369072,-122.022514,40,0
2209,2209,"US Hwy 2 &E Main St (WB)",,47.858429,-121.966248,15,0
2207,2207,"Galaxy Way &N Kelsey St (SB)",,47.8655891,-121.973129,15,0
2208,2208,"US Hwy 2 &E Main St (EB)",,47.858223,-121.965927,15,0
81984,81984,"244th St SW & Van Ry Blvd (WB)",,47.7776642,-122.313126,17,0
71241,71241,"NE 24th St & 180th Ave NE (WB)",,47.6312561,-122.100632,19,0
71242,71242,"NE 24th St & 179th Ave NE (EB)",,47.6311188,-122.101334,19,0
64587,64587,"10th Ave NW & NW Sammamish Rd (NB)",,47.5516586,-122.049843,19,0
72288,72288,"NE 68th St & 110th Ave NE (WB)",,47.6663513,-122.193008,19,0
81983,81983,"Van Ry Blvd & 244th St SW (NB)",,47.777874,-122.312538,17,0
72289,72289,"NE 68th St & 110th Ave NE (EB)",,47.6661987,-122.193199,19,0
76977,76977,"NE 175th St & 133rd Ave NE (WB)",,47.7545509,-122.161423,19,0
76970,76970,"Sr 522 & 132nd Ave NE (EB)",,47.757515,-122.164566,19,0
26835,26835,"Westlake Ave N & Halladay St (NB)",,47.6425591,-122.343475,1,0
66742,66742,"164th Ave NE & Northup Way (SB)",,47.6246834,-122.12178,19,0
63820,63820,"180th Ave NE & NE 68th St (NB)",,47.6676559,-122.100044,19,0
69015,69015,"110th Ave NE & NE 10th St (SB)",,47.6187897,-122.193741,19,0
26535,26535,"Westlake Ave N & Halladay St (SB)",,47.64217,-122.343422,1,0
58795,58795,"SR 516 & Military Rd S (EB)",,47.390625,-122.286018,24,0
68415,68415,"156th Ave NE & NE 33rd St (SB)",,47.6392021,-122.132423,19,0
18152,18152,"Leary Ave NW & NW Dock Pl (NB)",,47.6653214,-122.380417,1,0
16329,16329,"Meridian Ave N & N 150th St (NB)",,47.7381516,-122.334297,18,0
16327,16327,"Meridian Ave N & N 155th St (SB)",,47.7411003,-122.334579,18,0
16331,16331,"Meridian Ave N & N 148th St (SB)",,47.7360954,-122.334435,18,0
79595,79595,"SW Sunset Blvd & SW 4th Pl (EB)",,47.4778328,-122.229301,24,0
626,626,"S Washington St & 5th Ave S (EB)",,47.6008034,-122.327942,21,0
85532,85532,"Federal Way Downtown Station - Bay 2 (SB)",,47.3168335,-122.30368,24,0
85539,85539,"Federal Way Downtown Station - Bay 9 (NB)",,47.3169327,-122.303398,24,0
85538,85538,"Federal Way Downtown Station - Bay 8 (NB)",,47.3166771,-122.303558,24,0
85540,85540,"Federal Way Downtown Station - Bay 10 (NB)",,47.3171043,-122.303299,24,0
85541,85541,"Federal Way Downtown Station - Bay 11 (SB)",,47.316452,-122.30323,24,0
85542,85542,"Federal Way Downtown Station - Bay 12 (WB)",,47.3151779,-122.305496,24,0
85543,85543,"Federal Way Downtown Station - Bay 13 (EB)",,47.3150368,-122.30439,24,0
72478,72478,"Cleveland St & 166th Ave NE - Bay 3 (EB)",,47.6720924,-122.119255,19,0
72476,72476,"NE 76th St & 164th Ave NE - Bay 1 (WB)",,47.6722412,-122.121292,19,0
72492,72492,"Marymoor Village Station - Bay 2 (SB)",,47.6677933,-122.107521,19,0
72494,72494,"Marymoor Village Station - Bay 4 (SB)",,47.6678581,-122.1073,19,0
63810,63810,"NE 68th St & 180th Ave NE (WB)",,47.6671181,-122.099091,19,0
72477,72477,"NE 76th St & 166th Ave NE - Bay 2 (WB)",,47.6715317,-122.11834,19,0
72479,72479,"Cleveland St & 164th Ave NE - Bay 4 (EB)",,47.6727638,-122.121056,19,0
6658,6658,"NW 90th St & 1st Ave NW (WB)",,47.6943016,-122.358368,1,0
18388,18388,"Dexter Ave N & Republican St (SB)",,47.6229095,-122.342468,1,0
57408,57408,"SE 248th St & 124th Ave SE (EB)",,47.3796043,-122.176491,24,0
57411,57411,"120th Ave SE & SE 246th Pl(SB)",,47.3808746,-122.181534,24,0
57413,57413,"120th Ave SE & SE 240th Pl (SB)",,47.3863602,-122.181534,24,0
81249,81249,"5th Ave NE & NE 165th St (NB)",,47.7489738,-122.32383,18,0
82434,82434,"56th Ave W & 236th St SW (SB)",,47.7843056,-122.308517,17,0
82432,82432,"56th Ave W & 240th St SW (SB)",,47.7813339,-122.308495,17,0
82433,82433,"56th Ave W & 244th St SW (SB)",,47.7777786,-122.308464,17,0
